Linac Beam 
6.4630745000e+01 1.3646919567e+02 1.3646919567e+02 
6.4940745000e+01 1.3646919567e+02 1.3646919567e+02 
6.5400745000e+01 1.3646919567e+02 1.3646919567e+02 
6.5710745000e+01 1.3646919567e+02 1.3646919567e+02 
6.5870745000e+01 1.3646919567e+02 1.3646919567e+02 
6.6239245000e+01 1.3646919567e+02 1.3646919567e+02 
6.6336695979e+01 1.3646918901e+02 1.3646918901e+02 
6.6434146958e+01 1.3646207123e+02 1.3646207123e+02 
6.6531597937e+01 1.3745087145e+02 1.3745087145e+02 
6.6629048916e+01 1.3858953251e+02 1.3858953251e+02 
6.6726499895e+01 1.3907200367e+02 1.3907200367e+02 
6.6823950874e+01 1.3988959743e+02 1.3988959743e+02 
6.6921401853e+01 1.4031157812e+02 1.4031157812e+02 
6.7018852832e+01 1.4175456700e+02 1.4175456700e+02 
6.7116303812e+01 1.4176977525e+02 1.4176977525e+02 
6.7213754791e+01 1.4176976970e+02 1.4176976970e+02 
6.7368245000e+01 1.4176976970e+02 1.4176976970e+02 
6.7465695979e+01 1.4176976297e+02 1.4176976297e+02 
6.7563146958e+01 1.4176453150e+02 1.4176453150e+02 
6.7660597937e+01 1.4280727256e+02 1.4280727256e+02 
6.7758048916e+01 1.4392827906e+02 1.4392827906e+02 
6.7855499895e+01 1.4441718258e+02 1.4441718258e+02 
6.7952950874e+01 1.4523719155e+02 1.4523719155e+02 
6.8050401853e+01 1.4561782527e+02 1.4561782527e+02 
6.8147852832e+01 1.4706079955e+02 1.4706079955e+02 
6.8245303812e+01 1.4707765629e+02 1.4707765629e+02 
6.8342754791e+01 1.4707765115e+02 1.4707765115e+02 
6.8730745000e+01 1.4707765115e+02 1.4707765115e+02 
6.8890745000e+01 1.4707765115e+02 1.4707765115e+02 
6.9200745000e+01 1.4707765115e+02 1.4707765115e+02 
6.9660745000e+01 1.4707765115e+02 1.4707765115e+02 
6.9970745000e+01 1.4707765115e+02 1.4707765115e+02 
7.0130745000e+01 1.4707765115e+02 1.4707765115e+02 
7.0499245000e+01 1.4707765115e+02 1.4707765115e+02 
7.0596695979e+01 1.4707764440e+02 1.4707764440e+02 
7.0694146958e+01 1.4707421585e+02 1.4707421585e+02 
7.0791597937e+01 1.4816516379e+02 1.4816516379e+02 
7.0889048916e+01 1.4926814366e+02 1.4926814366e+02 
7.0986499895e+01 1.4976308693e+02 1.4976308693e+02 
7.1083950874e+01 1.5058530715e+02 1.5058530715e+02 
7.1181401853e+01 1.5092637899e+02 1.5092637899e+02 
